start,host,choice,bat_first,inn1,inn2,winner,outcome
22/08/2019,England or Wales,Field,Australia,179,67,England,lost
12/03/1977,Australia,Field,Australia,138,95,Australia,won
10/07/1975,England or Wales,Field,Australia,359,101,Australia,won
11/08/1977,England or Wales,Bat,England,436,103,England,won
01/01/1995,Australia,Bat,England,309,116,draw,draw
18/07/2013,England or Wales,Bat,England,361,128,England,won
13/08/1981,England or Wales,Bat,England,231,130,England,won
14/08/1975,England or Wales,Bat,England,288,135,draw,draw
21/11/2013,Australia,Bat,Australia,295,136,Australia,won
08/06/1972,England or Wales,Bat,England,249,142,England,won
29/12/1978,Australia,Bat,Australia,258,143,Australia,won
04/01/1980,Australia,Field,England,123,145,Australia,lost
20/08/2015,England or Wales,Field,Australia,481,149,Australia,won
23/11/1990,Australia,Field,England,194,152,Australia,lost
03/01/2014,Australia,Field,Australia,326,155,Australia,won
21/07/2005,England or Wales,Bat,Australia,190,155,Australia,won
23/11/2006,Australia,Bat,Australia,602,157,Australia,won
20/08/2009,England or Wales,Bat,England,332,160,England,won
03/07/1997,England or Wales,Bat,Australia,235,162,Australia,won
27/01/1979,Australia,Field,England,169,164,England,won
25/11/1994,Australia,Bat,Australia,426,167,Australia,won
05/12/2013,Australia,Bat,Australia,570,172,Australia,won
25/01/1975,Australia,Field,Australia,304,172,Australia,won
16/07/1981,England or Wales,Bat,Australia,401,174,England,lost
18/06/1981,England or Wales,Field,England,185,179,Australia,lost
16/12/2010,Australia,Field,Australia,268,187,Australia,won
14/01/2022,Australia,Field,Australia,303,188,Australia,won
13/07/1972,England or Wales,Field,Australia,315,189,draw,draw
15/12/1978,Australia,Field,England,309,190,England,won
02/08/2001,England or Wales,Bat,England,185,190,Australia,lost
28/08/1975,England or Wales,Bat,Australia,532,191,draw,draw
22/07/1993,England or Wales,Bat,Australia,653,200,Australia,won
26/12/2013,Australia,Field,England,255,204,Australia,lost
17/06/1993,England or Wales,Bat,Australia,632,205,Australia,won
28/08/1980,England or Wales,Bat,Australia,385,205,draw,draw
03/06/1993,England or Wales,Field,Australia,289,210,Australia,won
24/12/1994,Australia,Field,Australia,279,212,Australia,won
19/06/1997,England or Wales,Field,England,77,213,draw,draw
29/01/1988,Australia,Bat,England,425,214,draw,draw
16/07/2009,England or Wales,Bat,England,425,215,England,won
14/12/2006,Australia,Bat,Australia,244,215,Australia,won
10/12/1982,Australia,Field,Australia,438,216,Australia,won
25/08/2005,England or Wales,Bat,England,477,218,England,won
02/01/1999,Australia,Bat,Australia,322,220,Australia,won
21/08/1997,England or Wales,Bat,England,180,220,England,won
12/09/2019,England or Wales,Field,England,294,225,England,won
02/12/2017,Australia,Field,Australia,442,227,Australia,won
11/12/1998,Australia,Bat,Australia,391,227,Australia,won
14/12/1979,Australia,Field,Australia,244,228,Australia,won
25/01/1991,Australia,Bat,Australia,386,229,draw,draw
29/01/1971,Australia,Bat,England,470,235,draw,draw
16/12/2021,Australia,Bat,Australia,473,236,Australia,won
09/01/1971,Australia,Bat,England,332,236,England,won
02/01/1983,Australia,Bat,Australia,314,237,draw,draw
28/11/1998,Australia,Field,England,112,240,Australia,lost
29/08/1985,England or Wales,Bat,England,464,241,England,won
26/12/1974,Australia,Field,England,242,241,draw,draw
06/07/1989,England or Wales,Bat,Australia,424,242,draw,draw
14/11/1986,Australia,Field,England,456,248,England,won
14/08/2019,England or Wales,Field,England,258,250,draw,draw
13/12/2013,Australia,Bat,Australia,385,251,Australia,won
10/08/1989,England or Wales,Bat,Australia,602,255,Australia,won
30/07/1981,England or Wales,Bat,England,189,258,England,won
27/07/1972,England or Wales,Bat,Australia,146,263,England,lost
12/02/1971,Australia,Field,England,184,264,England,won
29/11/1974,Australia,Bat,Australia,309,265,Australia,won
26/12/2021,Australia,Field,England,185,267,Australia,lost
31/07/1975,England or Wales,Bat,England,315,268,draw,draw
26/12/2002,Australia,Bat,Australia,551,270,Australia,won
09/08/2013,England or Wales,Bat,England,238,270,England,won
10/01/1987,Australia,Bat,Australia,343,275,Australia,won
10/07/2013,England or Wales,Bat,England,215,280,England,won
29/07/2015,England or Wales,Bat,Australia,136,281,England,lost
24/08/1989,England or Wales,Bat,Australia,468,285,draw,draw
01/12/1978,Australia,Bat,Australia,116,286,England,lost
26/12/1982,Australia,Field,England,284,287,England,won
05/01/2022,Australia,Bat,Australia,416,294,draw,draw
06/01/1979,Australia,Bat,England,152,294,England,won
04/01/1975,Australia,Bat,Australia,405,295,Australia,won
03/02/1995,Australia,Bat,Australia,402,295,Australia,won
16/06/1977,England or Wales,Bat,England,216,296,draw,draw
04/09/2019,England or Wales,Bat,Australia,497,301,Australia,won
11/08/2005,England or Wales,Bat,England,444,302,draw,draw
19/08/1993,England or Wales,Bat,England,380,303,England,won
26/12/1990,Australia,Bat,England,352,306,Australia,lost
01/02/1991,Australia,Bat,England,244,307,Australia,lost
08/07/2015,England or Wales,Bat,England,430,308,England,won
04/08/2005,England or Wales,Field,England,407,308,England,won
22/06/1972,England or Wales,Bat,England,272,308,Australia,lost
10/02/1979,Australia,Bat,Australia,198,308,England,lost
16/08/2001,England or Wales,Bat,Australia,447,309,England,lost
16/07/2015,England or Wales,Bat,Australia,566,312,Australia,won
07/08/1997,England or Wales,Bat,Australia,427,313,Australia,won
27/08/1981,England or Wales,Field,Australia,352,314,draw,draw
07/11/2002,Australia,Field,Australia,492,325,Australia,won
23/11/2017,Australia,Bat,England,302,328,Australia,lost
26/12/1998,Australia,Field,England,270,340,England,won
26/11/1982,Australia,Field,England,219,341,Australia,lost
02/07/1981,England or Wales,Field,England,311,345,draw,draw
26/12/1986,Australia,Field,Australia,141,349,England,lost
02/01/2003,Australia,Bat,England,362,363,England,won
28/07/1977,England or Wales,Bat,Australia,243,364,England,lost
08/09/2005,England or Wales,Bat,England,373,367,draw,draw
01/08/2013,England or Wales,Bat,Australia,527,368,draw,draw
01/07/1993,England or Wales,Bat,England,321,373,draw,draw
01/08/2019,England or Wales,Bat,Australia,284,374,Australia,won
20/11/1998,Australia,Bat,Australia,485,375,draw,draw
30/07/2009,England or Wales,Bat,Australia,263,376,draw,draw
21/08/2013,England or Wales,Bat,Australia,492,377,draw,draw
25/08/1977,England or Wales,Field,England,214,385,draw,draw
06/08/2015,England or Wales,Field,Australia,60,391,England,lost
21/01/1971,Australia,Bat,Australia,493,392,draw,draw
02/01/2007,Australia,Bat,England,291,393,Australia,lost
10/08/1972,England or Wales,Bat,England,284,399,Australia,lost
28/11/1986,Australia,Bat,England,592,401,draw,draw
19/07/2001,England or Wales,Field,England,187,401,Australia,lost
05/08/1993,England or Wales,Bat,England,276,408,Australia,lost
26/01/1995,Australia,Bat,England,353,419,England,won
26/12/2006,Australia,Bat,England,159,419,Australia,lost
12/11/1982,Australia,Field,England,411,424,draw,draw
27/06/1985,England or Wales,Field,England,290,425,Australia,lost
08/12/2021,Australia,Bat,England,147,425,Australia,lost
08/06/1989,England or Wales,Field,Australia,601,430,Australia,won
23/08/2001,England or Wales,Bat,Australia,641,432,Australia,won
07/07/1977,England or Wales,Bat,Australia,297,437,England,lost
11/12/1970,Australia,Field,England,397,440,draw,draw
07/08/2009,England or Wales,Bat,England,102,445,Australia,lost
27/07/1989,England or Wales,Bat,England,260,447,Australia,lost
12/12/1986,Australia,Bat,Australia,514,455,draw,draw
29/11/2002,Australia,Bat,England,185,456,Australia,lost
27/11/1970,Australia,Bat,Australia,433,464,draw,draw
04/01/1991,Australia,Bat,Australia,518,469,draw,draw
01/02/1980,Australia,Bat,England,306,477,Australia,lost
05/06/1997,England or Wales,Bat,Australia,118,478,England,lost
25/11/2010,Australia,Bat,England,260,481,draw,draw
13/12/1974,Australia,Field,England,208,481,Australia,lost
01/08/1985,England or Wales,Field,Australia,257,482,draw,draw
26/12/2017,Australia,Bat,Australia,327,491,draw,draw
24/07/1997,England or Wales,Field,England,172,501,Australia,lost
01/12/2006,Australia,Bat,England,551,513,Australia,lost
26/12/2010,Australia,Field,Australia,98,513,England,lost
22/06/1989,England or Wales,Bat,England,286,528,Australia,lost
08/02/1975,Australia,Bat,Australia,152,529,England,lost
13/06/1985,England or Wales,Bat,Australia,331,533,England,lost
11/07/1985,England or Wales,Bat,England,456,539,draw,draw
21/11/2002,Australia,Bat,England,342,552,Australia,lost
05/07/2001,England or Wales,Field,England,294,576,Australia,lost
15/08/1985,England or Wales,Field,Australia,335,595,England,lost
03/12/2010,Australia,Bat,Australia,245,620,England,lost
03/01/2011,Australia,Bat,Australia,280,644,England,lost
04/01/2018,Australia,Bat,England,346,649,Australia,lost
14/12/2017,Australia,Bat,England,403,662,Australia,lost
08/07/2009,England or Wales,Bat,England,435,674,draw,draw
